Run,Iteration Number,Time to Solve(ms),Success
0,1,26.0970,1
0,2,19.6010,1
0,3,12.8420,1
0,4,27.7180,1
0,5,11.0970,1
0,6,15.7410,1
0,7,31.0600,1
0,8,20.8220,1
0,9,0.2280,1
0,10,20.8080,1
0,11,11.8080,1
0,12,3.9940,1
0,13,7.9850,1
0,14,15.2390,1
0,15,3.2750,1
0,16,6.2190,1
0,17,13.1950,1
0,18,9.0810,1
0,19,28.1180,1
0,20,27.4780,1
0,21,6.2680,1
0,22,18.7190,1
0,23,0.6260,1
0,24,1.3600,1
0,25,46.0100,0
1,1,15.2930,1
1,2,54.6560,1
1,3,37.1510,1
1,4,24.8020,1
1,5,29.3300,1
1,6,29.5610,1
1,7,13.0520,1
1,8,7.0400,1
1,9,24.0960,1
1,10,1.2480,1
1,11,30.9730,1
1,12,7.3200,1
1,13,12.4160,1
1,14,22.9620,1
1,15,29.7810,1
1,16,1.2850,1
1,17,4.1320,1
1,18,17.3610,1
1,19,5.6900,1
1,20,8.2460,1
1,21,58.5750,1
1,22,11.4930,1
1,23,0.1770,0
2,1,41.7660,1
2,2,0.3880,1
2,3,4.6480,1
2,4,9.1250,1
2,5,23.0330,1
2,6,34.1980,1
2,7,32.4640,1
2,8,12.7240,1
2,9,17.3220,1
2,10,17.5030,1
2,11,52.5100,1
2,12,8.6610,1
2,13,33.1700,1
2,14,1.0930,1
2,15,30.2430,1
2,16,8.8070,1
2,17,1.1030,1
2,18,0.1470,0
3,1,8.4800,1
3,2,5.1530,1
3,3,0.7630,1
3,4,0.2030,1
3,5,8.4890,1
3,6,11.0230,1
3,7,11.0970,1
3,8,21.0380,1
3,9,1.1240,1
3,10,0.6270,1
3,11,24.9940,1
3,12,19.6730,1
3,13,32.1640,1
3,14,11.9490,1
3,15,26.6190,1
3,16,10.1870,1
3,17,0.1820,1
3,18,1.3690,1
3,19,13.0530,1
3,20,37.8490,1
3,21,47.7710,1
3,22,19.2080,1
3,23,0.2010,1
3,24,10.8100,1
3,25,8.4890,1
3,26,0.1220,1
3,27,23.0300,1
3,28,2.9200,1
3,29,7.9980,1
3,30,1.6700,1
3,31,2.7140,1
3,32,1.7390,1
3,33,0.2950,0
4,1,39.0470,1
4,2,0.3960,1
4,3,26.1710,1
4,4,18.5290,1
4,5,0.1960,1
4,6,7.9300,1
4,7,36.3450,1
4,8,0.1080,1
4,9,2.5470,1
4,10,14.9150,1
4,11,17.0290,1
4,12,14.3860,1
4,13,0.2990,1
4,14,3.9720,1
4,15,28.5730,1
4,16,0.1800,1
4,17,20.0460,1
4,18,0.1220,1
4,19,9.7870,1
4,20,18.0540,1
4,21,103.5940,0
5,1,7.5450,1
5,2,17.9960,1
5,3,21.3930,1
5,4,18.8660,1
