Run,Iteration Number,Time to Solve(ms),Success
0,1,39.6650,1
0,2,1.0050,1
0,3,31.3430,1
0,4,2.7680,1
0,5,31.0850,1
0,6,21.8930,1
0,7,29.9060,1
0,8,26.8190,1
0,9,42.7910,1
0,10,21.9230,1
0,11,4.7750,1
0,12,12.2320,1
0,13,2.8880,1
0,14,52.9690,1
0,15,11.6090,1
0,16,8.8440,1
0,17,6.7250,1
0,18,13.3130,1
0,19,1.1280,1
0,20,18.9500,1
0,21,49.0330,1
0,22,59.8350,1
0,23,31.6140,1
0,24,11.6040,0
1,1,25.2580,1
1,2,1.1480,1
1,3,1.6140,1
1,4,30.7070,1
1,5,7.0270,1
1,6,14.7390,1
1,7,13.5580,1
1,8,19.8400,1
1,9,7.9500,1
1,10,20.1010,1
1,11,15.4280,1
1,12,30.6990,1
1,13,17.4990,1
1,14,23.2080,1
1,15,10.9040,1
1,16,0.2000,1
1,17,12.0050,1
1,18,12.9810,1
1,19,19.8040,1
1,20,82.5570,0
2,1,19.8460,1
2,2,39.0490,1
2,3,25.0810,1
2,4,22.4110,1
2,5,16.7220,1
2,6,29.4220,1
2,7,25.0960,1
2,8,23.2710,1
2,9,3.5580,1
2,10,0.2270,1
2,11,12.7430,1
2,12,13.2630,1
2,13,17.9710,1
2,14,8.6370,1
2,15,25.2650,1
2,16,24.1110,1
2,17,4.9970,1
2,18,9.6990,1
2,19,5.3440,1
2,20,0.9680,1
2,21,4.3100,1
2,22,1.5560,1
2,23,81.2500,0
3,1,27.3830,1
3,2,9.8680,1
3,3,52.5960,1
3,4,27.7370,1
3,5,34.0540,1
3,6,20.3210,1
3,7,27.9920,1
3,8,15.1850,1
3,9,9.7680,1
3,10,19.2170,1
3,11,21.8170,1
3,12,8.9930,1
3,13,4.4330,1
3,14,0.0940,1
3,15,12.2250,1
3,16,32.8520,1
3,17,6.6810,1
3,18,0.2250,0
4,1,34.8530,1
4,2,19.9120,1
4,3,5.0540,1
4,4,1.9180,1
4,5,30.2660,1
4,6,1.6720,1
4,7,17.4860,1
4,8,1.9130,1
4,9,14.4010,1
4,10,19.9530,1
4,11,18.9090,1
4,12,14.2430,1
